Reference,Quantity,Description,Manufacturer,Part Number,Digi-Key P/N
A1 A2 A3 A4,4,"DISPLAY 610NM ORN 1DIG 0.4"" SMD",Kingbright,ACPSC04-41SEKWA,ACPSC04-41SEKWA-ND
C1 C2,2,CAP CER 0.1UF 50V X7R 0603,Samsung,CL10B104JB8NNNC,1276-1033-1-ND 
H1,1,CONN HDR 5POS 0.1 STACK T/H GOLD,Samtec,DW-05-15-F-S-200,DW-05-15-F-S-200-ND
H2,1,CONN HDR 9POS 0.1 STACK T/H GOLD,Samtec,DW-09-15-F-S-200,N/A
Q1 Q2 Q3 Q4,4,TRANS NPN 40V 0.2A SMD SOT23-3,Diodes Incorporated,MMBT3904-7-F,MMBT3904-FDICT-ND
R1 R2 R3 R4,4,RES SMD 1K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1001V,P1.00KHCT-ND
R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18,14,RES SMD 100 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1000V,P100HCT-ND
U1 U2,2,IC 8BIT SHIFT REGISTER 16-TSSOP,Texas Instruments,SN74HC595PWR,296-23258-1-ND
